(0,0)
(0,1)
(1,1)
(1,0)
(2,0)
(2,1)
(2,2)
(2,3)
(2,4)
(1,4)
(0,4)
(0,5)
(0,6)
(1,6)
(1,7)
(1,8)
(2,8)
(2,9)
(2,10)
(1,10)
(1,11)
(2,11)
(2,12)
(3,12)
(3,13)
(3,14)
(3,15)
(3,16)
(4,16)
(4,17)
(4,18)
(3,18)
(3,19)
(3,20)
(4,20)
(5,20)
(5,19)
(5,18)
(6,18)
(6,19)
(7,19)
(8,19)
(9,19)
(10,19)
(10,20)
(9,20)
(9,21)
(9,22)
(8,22)
(8,21)
(8,20)
(7,20)
(7,21)
(6,21)
(6,22)
(5,22)
(5,21)
(4,21)
(3,21)
(2,21)
(1,21)
(1,22)
(2,22)
(3,22)
(4,22)
(4,23)
(5,23)
(6,23)
(6,24)
(5,24)
(4,24)
(4,25)
(5,25)
(5,26)
(5,27)
(5,28)
(6,28)
(6,27)
(7,27)
(7,28)
(8,28)
(9,28)
(9,27)
(8,27)
(8,26)
(7,26)
(6,26)
(6,25)
(7,25)
(8,25)
(8,24)
(9,24)
(9,25)
(9,26)
(10,26)
(10,27)
(11,27)
(11,26)
(12,26)
(12,27)
(12,28)
(12,29)
(12,30)
(11,30)
(11,29)
(11,28)
(10,28)
(10,29)
(9,29)
(9,30)
(8,30)
(8,31)
(8,32)
(9,32)
(10,32)
(10,33)
(11,33)
(11,34)
(11,35)
(12,35)
(12,36)
(12,37)
(13,37)
(14,37)
(15,37)
(16,37)
(16,38)
(17,38)
(18,38)
(18,39)
(19,39)
(19,40)
(19,41)
(18,41)
(18,40)
(17,40)
(16,40)
(15,40)
(15,41)
(15,42)
(16,42)
(16,41)
(17,41)
(17,42)
(18,42)
(18,43)
(18,44)
(17,44)
(17,43)
(16,43)
(15,43)
(15,44)
(15,45)
(16,45)
(17,45)
(18,45)
(19,45)
(19,44)
(20,44)
(20,43)
(19,43)
(19,42)
(20,42)
(20,41)
(20,40)
(20,39)
(21,39)
(21,40)
(22,40)
(22,39)
(23,39)
(23,40)
(24,40)
(24,41)
(23,41)
(22,41)
(21,41)
(21,42)
(22,42)
(23,42)
(24,42)
(25,42)
(26,42)
(26,41)
(27,41)
(27,40)
(26,40)
(26,39)
(26,38)
(27,38)
(27,39)
(28,39)
(29,39)
(30,39)
(30,40)
(30,41)
(30,42)
(29,42)
(29,41)
(28,41)
(28,42)
(28,43)
(27,43)
(26,43)
(25,43)
(25,44)
(25,45)
(25,46)
(26,46)
(26,45)
(26,44)
(27,44)
(27,45)
(27,46)
(28,46)
(28,45)
(28,44)
(29,44)
(29,45)
(29,46)
(30,46)
(30,45)
(31,45)
(31,46)
(32,46)
(33,46)
(33,45)
(34,45)
(35,45)
(35,46)
(36,46)
(36,45)
(36,44)
(35,44)
(34,44)
(33,44)
(33,43)
(32,43)
(32,44)
(31,44)
(31,43)
(31,42)
(32,42)
(32,41)
(32,40)
(33,40)
(34,40)
(34,39)
(33,39)
(32,39)
(32,38)
(32,37)
(32,36)
(33,36)
(33,37)
(34,37)
(34,38)
(35,38)
(35,37)
(35,36)
(35,35)
(35,34)
(36,34)
(36,35)
(36,36)
(36,37)
(37,37)
(38,37)
(38,38)
(39,38)
(40,38)
(41,38)
(41,37)
(42,37)
(42,38)
(43,38)
(43,39)
(43,40)
(43,41)
(42,41)
(42,40)
(42,39)
(41,39)
(41,40)
(41,41)
(40,41)
(40,42)
(39,42)
(39,43)
(39,44)
(39,45)
(39,46)
(40,46)
(40,45)
(40,44)
(41,44)
(42,44)
(43,44)
(44,44)
(44,43)
(45,43)
(46,43)
(46,44)
(45,44)
(45,45)
(46,45)
