51300027950,dcf,155,8
51300054297,gdc,259,179
51300065038,ggf,243,219
51300088006,bef,92,185
51300113476,eeb,194,115
51300125111,ffb,269,285
51300133235,bed,94,276
51300205430,fgb,191,68
51300228283,egd,232,57
51300233482,acg,56,237
51300248357,dbe,198,206
51300285483,daa,131,29
51300286862,adf,176,216
51300292531,ada,104,243
51300301464,edf,21,235
51300322493,dgc,38,258
51300323260,fdd,229,279
51300344043,eca,37,107
51300370443,age,169,220
51300400527,bag,42,174
51300441237,beg,271,145
51300452938,cfc,158,163
51300484448,egf,230,101
51300529209,ggc,43,126
51300562468,fef,188,23
51300578669,gac,28,141
51300579649,ege,266,12
51300606591,fba,86,285
51300636438,ggf,199,201
51300665801,gfc,257,50
51300694903,dbe,225,245
51300697885,bgb,1,209
51300708910,eeg,162,220
51300737751,ffa,9,25
51300761821,dea,26,231
51300768310,cbf,128,192
51300768608,faa,2,177
51300773625,dfe,158,149
51300779838,ced,34,230
51300807386,dcc,72,266
51300827583,edd,259,292
51300855832,gfg,78,150
51300872213,dfa,210,210
51300880361,fcg,137,279
51300892168,gbd,60,190
51300899003,bag,298,151
51300936939,ebf,180,58
51300958903,cea,141,95
51300977025,bcb,286,146
51301012087,fcd,233,287
51301017882,abd,88,71
51301077011,eff,228,158
51301102348,bec,136,106
51301148310,fbe,282,237
51301158279,cbd,103,196
51301166381,gbf,115,42
51301201698,dgb,119,267
51301312638,dgb,16,237
51301330270,dgc,87,242
51301335454,ece,2,273
51301340431,gbd,190,176
51301341492,cad,220,177
51301388421,bfd,263,31
51301430192,bbf,96,37
51301463306,aea,48,275
51301527813,ddf,165,5
51301535760,afg,272,13
51301567704,eag,297,91
51301613332,beg,146,147
51301714295,dec,241,292
51301795133,ged,64,85
51301801972,cbd,32,217
51301816648,dfg,190,125
51301828532,ebg,139,131
51301859818,acd,287,24
51301875171,aff,120,132
51301967005,aaf,41,232
51301967624,acg,164,267
51301970576,dcg,55,184
51301986566,bdg,140,5
51301999222,bfa,249,166
51302088007,bbg,208,61
51302094229,cgg,192,142
51302096561,gce,21,33
51302102556,bac,106,174
51302111676,ced,131,234
51302170946,deb,9,62
51302173194,bdg,202,5
51302184647,ddd,107,255
51302196962,gef,67,287
51302200646,edc,181,115
51302206809,cca,171,219
51302327023,dfa,86,176
51302387211,gcc,98,81
51302396361,egc,180,125
51302484879,gfd,48,174
51302495307,edg,180,153
51302544043,gfb,188,253
51302565952,fdd,99,276
51302592299,dde,50,35
51302597096,egd,230,46
51302597307,gag,147,201
51302660690,gac,189,167
51302675806,daa,114,24
51302686510,abb,63,148
51302707916,dca,84,131
51302736039,fae,100,21
51302745895,aab,70,24
51302766594,cge,97,149
51302797516,efe,156,204
51302799009,fba,106,242
51302813924,bec,32,96
51302827504,fad,123,163
51302866480,gee,284,274
51302872787,bcg,283,264
51302914297,adf,209,226
51302924127,abg,247,218
51302942084,def,76,262
51302953449,cca,165,188
51302955424,dgd,242,101
51303014718,fdb,81,51
51303073936,fec,54,234
51303078980,cea,139,95
51303085937,gae,176,34
51303105255,fec,117,226
51303117811,bgb,53,183
51303137105,dca,37,119
51303172272,eeb,230,110
51303201099,cca,19,167
51303235626,aaf,297,201
51303241195,aba,41,128
51303263616,dfc,3,255
51303268373,bcc,295,52
51303292422,bbc,166,190
51303294248,feb,231,155
51303294475,bga,273,294
51303301878,gea,5,82
51303336356,ggg,54,136
51303342977,aeb,118,137
51303350398,def,211,269
51303405097,fef,97,22
51303465586,gee,39,279
51303495701,gdd,289,183
51303498468,dga,70,174
51303504545,gca,236,251
51303510697,cbb,257,276
51303522491,aca,32,274
51303549923,aea,75,302
51303551105,dfg,118,130
51303565844,dec,75,332
51303572850,bba,77,138
51303585046,cdg,140,234
51303590867,dea,125,249
51303614947,abf,90,25
51303626663,cdf,106,169
51303648463,fcb,290,236
51303677273,gde,1,143
51303680691,dfe,19,131
51303686544,abd,219,59
51303688823,dee,40,212
51303722741,cde,165,195
51303726313,dba,130,179
51303733166,cbe,33,250
51303801306,fbe,96,253
51303821100,gcg,251,149
51303849924,bbe,116,260
51303852868,dgf,186,96
51303853001,bce,83,128
51303887860,deg,84,153
51303891919,dbc,95,297
51303907399,cdb,12,187
51303910453,fdc,46,105
51303954012,cee,212,98
51303969752,edg,7,159
51303988487,baf,95,268
51304032228,agc,279,84
51304035361,cde,247,220
51304036368,cgd,106,269
51304157928,fba,208,234
51304162040,afa,179,108
51304232886,ffc,79,27
51304259772,edf,92,195
51304333462,cab,164,84
51304338205,acf,174,6
51304361949,gda,171,266
51304372935,egf,99,108
51304379684,fee,136,146
51304381068,gac,9,175
51304383455,fad,116,171
51304390444,gcc,206,76
51304426203,bde,169,235
51304431962,gef,199,318
51304531207,age,179,213
51304535226,bab,132,286
51304550228,cbg,132,39
51304564110,ebc,141,156
51304570606,afb,206,178
51304578059,cdc,80,254
51304602732,bff,52,223
51304604531,ceg,58,130
51304610136,bfg,274,223
51304610611,gfa,3,145
51304621677,bbf,72,36
51304632866,cff,291,158
51304640750,fda,176,89
51304664182,dfg,247,143
51304678436,eca,79,86
51304683113,gfe,187,36
51304690295,eaf,204,236
51304702646,fec,62,259
51304719409,cgf,88,65
51304735593,dgg,38,254
51304752502,bdg,199,5
51304803563,bfe,34,72
51304812556,ebf,159,67
51304839062,bcb,184,163
51304856290,dfa,140,151
51304874510,bdb,273,55
51304876394,aca,25,304
51304877371,agc,290,84
51304925124,ged,242,99
51304933475,ebb,150,78
51304959022,bfg,133,205
51304986980,fbf,190,284
51304987333,caa,250,262
51304997900,ffg,168,29
51305024091,ace,146,199
51305079140,ddf,225,5
51305080584,ebe,270,169
51305112583,cec,166,57
51305115786,aca,197,261
51305136776,gec,52,102
51305170722,fcg,111,225
51305241569,dae,73,268
51305266475,ede,97,255
51305322687,edb,55,45
51305344813,efg,80,100
51305364298,fgb,154,73
51305367289,ege,211,10
51305371642,dgb,288,206
51305386997,agd,206,287
51305406899,bbd,31,138
51305434268,bcd,106,200
51305441894,gbf,260,42
51305494636,fed,223,184
51305514700,acb,120,269
51305517579,ggf,281,235
51305541859,acc,36,93
51305542194,fcc,68,66
51305542854,fad,40,174
51305544952,gff,239,270
51305574911,eed,84,143
51305575240,bae,72,233
51305600804,bge,135,114
51305603212,agf,257,263
51305623927,abd,155,56
51305634426,agb,195,85
51305645096,fac,197,156
